call_id,speaker,papel,secao_1a_fala,n_falas,primeira_fala
AAPL_2006Q2,Shannon Cross - Cross Research,analyst,qa,5,"Hi, good afternoon. Just a question on your new facility. Any idea what you're going to spend on CapEx for that? I think"
AAPL_2006Q2,Shaw Wu - American Technology,analyst,qa,2,"Thanks. Any update on use of cash? I mean, your cash position continues to build -- well, not this specific quarter, but"
AAPL_2006Q2,Steve Lidberg - Pacific Crest Securities,analyst,qa,2,"Good afternoon. First, I was hoping that you could provide kind of a sense as to the Mac units and what percentage of th"
AAPL_2006Q2,Tim Cook,management,remarks,26,"Richard, yeah, on the component point of view, we were able to secure lower costs than we had planned for the quarter, p"
AAPL_2006Q3,Analysts,management,remarks,1,Andrew Neff - Bear Stearns Shannon Cross - Cross Research Benjamin Reitzes - UBS Keith Bachman - Banc of America Securit
AAPL_2006Q3,Andrew Neff - Bear Stearns,management,remarks,1,"If you could talk, to the extent you can, about how you are viewing the balance of the year. In the press release, you t"
AAPL_2006Q3,Benjamin Reitzes - UBS,management,remarks,3,"Thank you. Could you talk, Peter and maybe Tim, about the economic environment, consumer versus education in particular?"
AAPL_2006Q3,Bill Fearnley - FTN Midwest Securities,management,remarks,4,Just a follow-up question on the iPod units -- what was the effect of the major and Mac promo being moved up in June? Wa
AAPL_2006Q3,Bill Shope - JP Morgan,management,remarks,3,"Thank you. I believe last quarter, you know that you got more aggressive with the market efforts overseas for the iPod. "
AAPL_2006Q3,Charles Wolf - Needham & Company,management,remarks,3,"Yes, I have a question about the music model. I was wondering if the actions of some European countries, most notably Fr"
AAPL_2006Q3,Chris Whitmore - Deutsche Bank Securities,management,remarks,4,"Thank you. Just a follow-up on the last question, is there any way you could provide a percentage of desktops to the pro"
AAPL_2006Q3,David Bailey - Goldman Sachs,analyst,qa,1,"Thank you. Similar to what you have done on the Mac side, have you done any studies on what percentage of iPod sales are"
AAPL_2006Q3,Executives,management,remarks,1,"Peter Oppenheimer - Chief Financial Officer, Senior Vice President Tim Cook - Chief Operating Officer Gary Whistler - Tr"
AAPL_2006Q3,Gary Whistler,management,remarks,1,"I am going to speak a little bit more generally. From the data we have seen, the U.S. economy and the consumer are holdi"
AAPL_2006Q3,Gene Munster - Piper Jaffray,analyst,qa,6,"Good afternoon. A couple of international questions. First, if you look at the success you had in the U.S., it really ha"
AAPL_2006Q3,Harry Blount - Lehman Brothers,management,remarks,5,"Peter, just in terms of Leopard, are you assuming any contribution from Leopard in the September quarter for the margins"
AAPL_2006Q3,Jonathan Hoopes - ThinkEquity,management,remarks,3,"Thank you. Looking at the unit shipment levels between the Mac desktops and the notebooks, are we to understand then tha"
AAPL_2006Q3,Keith Bachman - Banc of America Securities,management,remarks,4,Thank you. I have a question on the retail side. There was some volatility between this quarter and last quarter in term
AAPL_2006Q3,Kevin Hunt - Thomas Weisel Partners,management,remarks,2,"Thank you. I had a couple of additional follow-ups on the gross margin question. First of all, in the response to someon"
AAPL_2006Q3,Nancy Paxton,management,remarks,20,"Thank you. Good afternoon, and thanks to everyone for joining us. Speaking today is Apple's CFO, Peter Oppenheimer. He w"
AAPL_2006Q3,Operator,operator,remarks,21,"Good day, and welcome to this Apple Computer third quarter financial results conference call. Today's conference is bein"
AAPL_2006Q3,Peter Oppenheimer,management,remarks,31,"Thank you, Nancy. Thank you for joining us. We are very pleased to report the second-highest quarterly revenue and earni"
AAPL_2006Q3,Rebecca Runkle - Morgan Stanley,management,remarks,7,"Good afternoon, two questions, first on retail distribution. Can you just confirm what pilots you are currently running "
AAPL_2006Q3,Richard Farmer - Merrill Lynch,management,remarks,2,"Thank you. Peter, I would like to ask a couple of questions on gross margins, please. In the past, you have commented, a"
AAPL_2006Q3,Richard Gardner - Citigroup,management,remarks,2,"Thank you. Just two quick questions. First of all, Tim, I was hoping you might be able to give us a sense of supply/dema"
AAPL_2006Q3,Robert Semple - Credit Suisse,management,remarks,3,"Can you walk me through the revenue outlook? If you take the midpoint of it, I know it is similar to what you did last y"
AAPL_2006Q3,Shannon Cross - Cross Research,management,remarks,2,"Good afternoon. Just a question on your gross margin guidance and how you are going to position -- well, you cannot talk"
AAPL_2006Q3,Shaw Wu - American Technology Research,management,remarks,1,"Thank you. Just some questions on your Japan business. It was down sequentially, double-digit for the second quarter in "
AAPL_2006Q3,Steve Lidberg - Pacific Crest Securities,analyst,qa,1,"Thank you. First, with regard to the MacBook, it seemed like you had shipments relatively within equilibrium exiting the"
AAPL_2006Q3,Tim Cook,management,remarks,18,"As Peter said earlier, the component pricing was very favorable in Q3. It was favorable across almost all categories. It"
AAPL_2006Q4,Analysts,management,remarks,1,David Bailey - Goldman Sachs  Richard Gardner - Citigroup  Bill Richards - UBS  Andrew Neff - Bear Stearns  Bill Shope -
AAPL_2006Q4,Andrew Neff - Bear Stearns,analyst,qa,3,"Two things. Just a point of clarification. Japan, the CPUs were down. Can you give us background on what's going on in J"
AAPL_2006Q4,Bill Fearnley - FTN Midwest,analyst,qa,5,"Thanks, two questions on the guidance. When you look at the economic environment and the consumer in particular, could y"
AAPL_2006Q4,Bill Richards - UBS,analyst,qa,6,"Good afternoon, thanks. So Steve says in this release that 2007 will be one of the most exciting product years in the hi"
AAPL_2006Q4,Bill Shope - JP Morgan,analyst,qa,2,"Great, thanks. Can you guys give us an update on the progress you're seeing in the international markets with the iPod a"
AAPL_2006Q4,Brian Blair - Wedge Partners,analyst,qa,3,"Hi, thank you. I was wondering if you could comment at all on any iPod or marketing promotions you're doing in the inter"
AAPL_2006Q4,Charles Wolf - Needham & Co,analyst,qa,3,"Hi, guys, I've got a couple of questions. Do you have any preliminary indication of demand for the Shuffle? I've been he"
AAPL_2006Q4,Chris Whitmore - Deutsche Bank,analyst,qa,4,Question on channel inventories for iPod. Can you give any color to the recently released products versus previous gener
AAPL_2006Q4,David Bailey - Goldman Sachs,analyst,qa,2,"Great, thank you very much. Two short questions, please. Can you help us understand the impact of the lower price points"
AAPL_2006Q4,Executives,management,remarks,1,Peter Oppenheimer - CFO  Tim Cook - COO  Gary Wipfler - Treasurer  Nancy Paxton - IR and Corporate Finance
AAPL_2006Q4,Gary Wipfler,analyst,qa,1,"Again, this would be generally speaking, it's from a macro point of view, but the economy is slowing because the Fed has"
AAPL_2006Q4,Gene Munster - Piper Jaffray,analyst,qa,4,"Good afternoon. The 1.5 or 1.6 Mac number is obviously impressive. As you look at that number, is there any way for us t"
AAPL_2006Q4,Harry Blount - Lehman Brothers,analyst,qa,5,"Hi, guys. Thank you very much. A couple of quick questions. One is, Peter, could you give a little bit of a sense on dir"
AAPL_2006Q4,Jesse Tortora - Prudential,analyst,qa,3,"Thanks for taking my call. Pete, what do you see the key levers that could provide upside or downside for this quarter?"
AAPL_2006Q4,John Jarvis - Boston Company,analyst,qa,1,"Hi, Peter. I seem to recall last year in the December quarter you had an extra week. I was wondering if you could give u"
AAPL_2006Q4,Jonathan Hoopes - ThinkEquity Partners,analyst,qa,4,"Thank you very much. Three questions on the retail. Peter, could you tell us how many retail store employees you had?"
AAPL_2006Q4,Kathy Huberty - Morgan Stanley,analyst,qa,3,"Just going back to inventory and channel inventories for Macs, do you feel you can get that back to normal levels ahead "
AAPL_2006Q4,Keith Bachman - Banc of America,analyst,qa,6,"Peter, in the iPod shipments for the quartercan you give us any color on how much will be ship-in or channel fill?"
AAPL_2006Q4,Nancy Paxton,management,remarks,21,"Thank you and good afternoon, and thanks to everyone for joining us. Speaking today is Apple CFO, Peter Oppenheimer, and"
AAPL_2006Q4,Operator,operator,remarks,23,"Good day, and welcome to this Apple Computer fourth quarter financial results conference call. Today's call is being rec"
AAPL_2006Q4,Peter Oppenheimer,management,remarks,32,"Thank you, Nancy. Thank you for joining us. We are pleased to report very strong preliminary results for the fourth quar"
AAPL_2006Q4,Richard Farmer - Merrill Lynch,analyst,qa,3,"Thank you. I understand you don't want to give specific gross margin numbers by products, but maybe in the same spirit a"
AAPL_2006Q4,Richard Gardner - Citigroup,analyst,qa,3,"Thank you very much. I had two questions. One, I was hoping, Peter, you could give us the typical walkthrough on the plu"
AAPL_2006Q4,Robert Semple - Credit Suisse,analyst,qa,3,"Yes, thanks. Guys, can you characterize the demand for the new Nano launch? I guess in the context of last year, Tim, la"
AAPL_2006Q4,Shannon Cross - Cross Research,analyst,qa,4,"Just a couple questions. Can you give us any color on boot camp downloads? What are your surveys saying, people are comi"
AAPL_2006Q4,Shaw Wu - American Technology Research,analyst,qa,2,"Just one quick one on iTV, any initial feedback you can provide us on that product? Second, any comment on what type of "
AAPL_2006Q4,Steve Lidberg - Pacific Crest Securities,analyst,qa,2,"Good afternoon. Peter, I was hoping you could provide some thoughts with regards to your ability to attract additional m"
AAPL_2006Q4,Tim Cook,analyst,qa,25,"David, in the notebook hard drive area, we expect that since supply exceeds demand in this area, there'll be favorable p"
AAPL_2007Q1,Analysts,management,remarks,1,Benjamin Reitzes - UBS   Richard Gardner - Citigroup   Toni Sacconaghi - Sanford Bernstein   Richard Farmer - Merrill Ly
AAPL_2007Q1,Andrew Neff - Bear Stearns,management,remarks,2,"Sure. Just two things, if I could.  One, I just wanted to clarify in terms of where you are in terms of -- this is an iP"
AAPL_2007Q1,Benjamin Reitzes - UBS,management,remarks,4,"Thanks, good afternoon. Peter, in your guidance, what are you factoring in, or are you factoring anything in, for any pa"
AAPL_2007Q1,Bill Fearnley - FTN Midwest,management,remarks,4,"Yes, good afternoon, a couple of questions here on the Mac product line. How is the Mac Pro performing versus your expec"
AAPL_2007Q1,Bill Shope - J.P. Morgan,management,remarks,6,"Great, thanks. First of all, could you give us an update on the Best Buy pilot and how that fared during the quarter? Se"
AAPL_2007Q1,Brian Blair - Wedge Partners,management,remarks,4,"Thanks. Of the 40,000 distribution points you mentioned, can you talk about how that breaks out internationally versus U"
AAPL_2007Q1,Charlie Wolf - Needham,management,remarks,2,"Most of my questions have been answered, but I do want to touch on Boot Camp. As I understand it, Apple will not be intr"
AAPL_2007Q1,Chris Whitmore - Deutsche Bank,management,remarks,3,"Thanks, good afternoon. Hoping to get a feel for how you're thinking about the balance between the very favorable commod"
AAPL_2007Q1,David Bailey - Goldman Sachs,management,remarks,3,"Great, thank you very much. Just a question on the Mac side. You saw a pretty good sequential up-tick in the ASP, and I "
AAPL_2007Q1,Executives,management,remarks,1,"Nancy Paxton - Senior Director, Investor Relations and Corporate Finance   Peter Oppenheimer - Chief Financial Officer, "
AAPL_2007Q1,Gene Munster - Piper Jaffray,management,remarks,6,"Good afternoon. First in terms of the iPhone, Steve Jobs talked about 10 million units. Is that for fiscal '08 or calend"
AAPL_2007Q1,Harry Blount - Lehman Brothers,management,remarks,5,"Thanks. Tim, just real quickly, on the number of distribution locations for the iPod, and then for the Mac?"
AAPL_2007Q1,Jesse Tortora - Prudential,management,remarks,4,"Hi, guys. Would you say the iPod gross margin contribution this quarter was due more to better fixed cost absorption on "
AAPL_2007Q1,Jonathan Hoopes - Think Equity Partners,management,remarks,6,Thanks for taking my question. Could you quickly go over what happened in Japan? I've got a couple more questions after 
AAPL_2007Q1,Keith Bachman - Banc of America Securities,management,remarks,3,"I have two guys, if I could, for both of you I think on the first one. International sales, is there any way to give us "
AAPL_2007Q1,Kevin Hunt - Thomas Weisel,management,remarks,3,"Hi, I had a couple questions. First of all, can you comment on the Cisco lawsuit over the iPhone name, and will that hav"
AAPL_2007Q1,Nancy Paxton,management,remarks,11,"Thank you. Good afternoon and thanks to everyone for joining us. Speaking today is Apple’s CFO, Peter Oppenheimer, and h"
AAPL_2007Q1,Operator,operator,remarks,24,"Thanks so much for holding, ladies and gentlemen, and welcome to this Apple first quarter financial results conference c"
AAPL_2007Q1,Peter Oppenheimer,management,remarks,32,"Thank you, Nancy. Thank you for joining us. We are pleased to report stellar financial results and another record-breaki"
AAPL_2007Q1,Rebecca Runkle - Morgan Stanley,management,remarks,5,"Great, thanks. Two quick questions. First one, Peter and Tim, just goes to the Mac units in the quarter. Obviously you a"
AAPL_2007Q1,Richard Farmer - Merrill Lynch,management,remarks,3,"Thanks. Peter and Tim, I would like to ask about the operating leverage and of the margins in the quarter. The operating"
AAPL_2007Q1,Richard Gardner - Citigroup,management,remarks,1,"Thank you. Peter, you mentioned a very favorable commodity environment when you did your gross margin discussion. Could "
AAPL_2007Q1,Robert Semple - Credit Suisse,management,remarks,4,"Thanks. Tim, can you maybe talk a little bit about how you're conceptually thinking about iPhone cannibalization of iPod"
AAPL_2007Q1,Shannon Cross - Cross Research,management,remarks,4,"Good afternoon. Just two questions, one with regard to the product mix. Could you give us just a little more clarity, po"
AAPL_2007Q1,Shaw Wu - American Technology,management,remarks,1,"Just one question for Peter. Your OpEx guidance is a bit more than I would expect, given the sequential decline in reven"
AAPL_2007Q1,Shebly Seyrafi - Caris,management,remarks,3,Thanks very much. You talked about the iPod gross margin increasing better than expected due to mix and component prices
AAPL_2007Q1,Steve Lidberg - Pacific Crest Securities,management,remarks,2,"Can you provide an update on the retail store plan, what you're targeting in terms of the number of store rollouts in '0"
AAPL_2007Q1,Tim Cook,management,remarks,34,"Sure, Rich. This is Tim. Last quarter, we saw favorable pricing across the board. It was a great time to be a buyer. For"
AAPL_2007Q1,Toni Sacconaghi - Sanford Bernstein,management,remarks,5,"Yes, thank you. I have two questions. The stores’ revenue collectively was up only 6%, despite the fact that CPU growth "
AAPL_2007Q3,Analysts,management,remarks,1,Ben Reitzes - UBS   Shannon Cross - Cross Research   Gene Munster - Piper Jaffray   David Bailey - Goldman Sachs   Richa
AAPL_2007Q3,Andrew Neff - Bear Stearns,analyst,qa,1,"Two things. One of the comments, you have seen a lot of reviews about the issue about corporate email. Are there thought"
AAPL_2007Q3,Ben Reitzes - UBS,management,remarks,3,"Peter, with regard to guidance, you just guided $0.66 and came up with $0.92. Why should we believe that this is $0.65 t"
AAPL_2007Q3,Bill Fearnley - FTN Midwest,analyst,qa,4,Switching gears here back to Macintosh if I could. You talked about the effect of product transitions potentially on gro
AAPL_2007Q3,Bill Shope - JP Morgan,analyst,qa,2,"Historically looking at the iPod business, we saw a very small incremental OpEx increased per dollar of iPod revenues an"
AAPL_2007Q3,David Bailey - Goldman Sachs,analyst,qa,3,"Good afternoon. In addition to the payments that you’re getting from AT&T, are you receiving any fees from the other ven"
AAPL_2007Q3,Executives,management,remarks,1,Nancy Paxton – IR   Peter Oppenheimer – CFO   Timothy Cook –COO   Gary Wipfler - Treasurer
AAPL_2007Q3,Gary Wipfler,analyst,qa,1,"With regard to your deferred revenue question, we provided to you the deferred revenue schedule this quarter. For iPhone"
AAPL_2007Q3,Gene Munster - Piper Jaffray,management,remarks,4,"I know you talked a little bit about the AT&T relationship and the accounting on that. Peter, is there any sort of just "
AAPL_2007Q3,Harry Blount - Lehman Brothers,analyst,qa,5,"Peter, you’re using period accounting on the iPhone launch for the expenses incurred in the quarter. Could you give us a"
AAPL_2007Q3,Katie Huberty - Morgan Stanley,analyst,qa,2,"Just a follow-up on the component discussion, how should we think about your ability to leverage the prepaid NAND Flash "
AAPL_2007Q3,Keith Bachman - Banc of America,analyst,qa,2,"Peter, on the CPUs, a healthy growth. The retail, which is moved around a little bit was really the standout this quarte"
AAPL_2007Q3,Matt Kather - W. R. Hambrecht,analyst,qa,7,Could you disclose what the ASP for the iPhone was in the quarter or are we left to guess given the deferred statistics 
AAPL_2007Q3,Michael Abramsky – RBC Capital Markets,analyst,qa,2,Thanks very much. Are you expecting a similar reception in Europe when you launch the iPhone? It is a little bit the dif
AAPL_2007Q3,Nancy Paxton,management,remarks,2,"Good afternoon and thanks to everyone for joining us. Speaking today is Apple's CFO Peter Oppenheimer, and he will be jo"
AAPL_2007Q3,Operator,operator,remarks,17,Welcome to the Apple third quarter 2007 quarterly results conference call. Today's call is being recorded. At this time 
AAPL_2007Q3,Peter Oppenheimer,management,remarks,43,"Thank you, Nancy. Thank you for joining us. We are pleased to report strong financial results and another landmark quart"
AAPL_2007Q3,Richard Farmer - Merrill Lynch,analyst,qa,4,Just a couple of clarifications. I think you pretty clearly answered that you didn’t receive payments from AT&T in the q
AAPL_2007Q3,Richard Gardner - Citigroup,analyst,qa,3,"Tim, could you give us an update on the Best Buy roll out and how that’s coming? How many stores you were in at the begi"
AAPL_2007Q3,Rob Semple - Credit Suisse,analyst,qa,3,"In the context of top line growth, can you just walk us through how you think about seasonality in both the iPod and the"
AAPL_2007Q3,Shannon Cross - Cross Research,management,remarks,5,Peter you had discussed in your remarks no payment from AT&T this quarter. Is there anything you can give us to clarify 
AAPL_2007Q3,Timothy Cook,management,remarks,9,"Let me take this one. As Peter said in his opening comments, we sold 270,000 units in the first 30 hours. AT&T said that"
AAPL_2007Q3,Toni Sacconaghi - Sanford Bernstein,analyst,qa,1,"Can you comment on whether your 270,000 iPhone shipments include shipments to the channel? That being AT&T stores. If so"
AAPL_2007Q4,Analysts,management,remarks,1,Ben Reitzes - UBS Gene Munster - Piper Jaffray Richard Gardner - Citigroup David Bailey - Goldman Sachs Katy Huberty - M
AAPL_2007Q4,Andrew Neff - BearStearns,management,remarks,3,"Thanks. Just a couple of things; one, if you could clarify,Peter, what you were saying about the tax rate this quarter. "
AAPL_2007Q4,Andy Hargreaves -Pacific Crest Securities,analyst,qa,3,"I’m just wondering if your strategy in terms of gettingvideo content on iTunes has changed, given the increase in availa"
AAPL_2007Q4,Ben Reitzes - UBS,management,remarks,5,"I don’t like to cheerlead, but nice quarter. The question isregarding the guidance. With regard to your usual pattern, P"
AAPL_2007Q4,Bill Fearnley - FTNMidwest,analyst,qa,5,"Hi, at Apple, can you guys hear us? This is Bill Fearnley.Can you hear me? Because you missed Rob Semple, you missed som"
AAPL_2007Q4,David Bailey -Goldman Sachs,management,remarks,3,"Yes, thank you. I was wondering if you could help usunderstand your pricing strategy for iPhone in Europe,where the pric"
AAPL_2007Q4,Executives,management,remarks,1,"Nancy Paxton - Senior Director, Investor Relations andCorporate Finance Peter Oppenheimer - Chief Financial Officer Timo"
AAPL_2007Q4,Gene Munster - PiperJaffray,management,remarks,6,"Good afternoon and congratulations. Peter, if you could talka little bit about the line item, iPhone related products an"
AAPL_2007Q4,Harry Blount - LehmanBrothers,management,remarks,5,"Thanks. Peter, just sorry to keep coming back to this rebatequestion, but it sounds like you are going to recognize that"
AAPL_2007Q4,Katy Huberty - MorganStanley,management,remarks,2,"And then just quickly, Peter, are there any nuances thatwill show up in the model as non-U.S. revenues become a larger p"
AAPL_2007Q4,Keith Bachman - Bankof Montreal,analyst,qa,6,"Hi, guys. Can you hear me now?"
AAPL_2007Q4,Mike Abramsky - RBCCapital Markets,analyst,qa,5,Thanks. Can you hear me now?
AAPL_2007Q4,Nancy Paxton,management,remarks,20,"Thank you. Good afternoon and thanks to everyone for joiningus. Speaking today is Apple CFO Peter Oppenheimer, and he’ll"
AAPL_2007Q4,Operator,operator,remarks,17,"Good day, everyone and welcome to this Apple Incorporatedfourth quarter 2007 quarterly results conference call. Today’s "
AAPL_2007Q4,Peter Oppenheimer,management,remarks,24,"Thank you, Nancy. Thank you for joining us. We are pleasedto report record results, including the highest September quar"
AAPL_2007Q4,Richard Gardner -Citigroup,management,remarks,4,"Thank you. I had two questions. First of all, I thought itwas quite encouraging that your PC channel inventories were be"
AAPL_2007Q4,Rob Semple - CreditSuisse,analyst,qa,5,"Hey, it’s Rob. Can you hear me now?"
AAPL_2007Q4,Shannon Cross - CrossResearch,management,remarks,5,"Good afternoon. Just going back to the revenue question,could you talk maybe, Peter, a little bit about the biggest driv"
AAPL_2007Q4,Timothy D. Cook,management,remarks,28,"Ben, in terms of iPod, sales accelerated dramatically afterthe introduction of the new iPod and based on some early mark"
AAPL_2007Q4,Toni Sacconaghi -Sanford Bernstein,management,remarks,4,Thank you. I’m trying to get a better sense of howsignificant elasticity was around the price cut with the iPhone. My se
AAPL_2008Q1,Analysts,management,remarks,1,Katy Huberty - Morgan Stanley Bill Fearnley - FTN Midwest David Bailey - Goldman Sachs Bill Shope - J.P. Morgan Richard 
AAPL_2008Q1,Andrew Neff - Bear Stearns,analyst,qa,4,"I wanted to clarify something -- when you talked about the U.S. iPods being flat, you’re talking year over year? I just "
AAPL_2008Q1,Andy Hargreaves - Pacific Crest Securities,analyst,qa,2,I’m just wondering on Apple TV if you have any plans to do any new in-store displays or any other marketing to show what
AAPL_2008Q1,Ben Reitzes - UBS,management,remarks,8,"Good afternoon. Thank you. Peter, I want to ask the guidance question another way. Last year on the same conference call"
AAPL_2008Q1,Bill Fearnley - FTN Midwest,management,remarks,4,"Yes, thanks. Could I ask another follow-up question on Macintosh here? When you look at the pro segment, now that you ha"
AAPL_2008Q1,Bill Shope - J.P. Morgan,management,remarks,4,"Great, thanks. Can you give us any sense of whether you are seeing any cannibalization at all yet going on between the i"
AAPL_2008Q1,Charles Wolf - Needham & Company,analyst,qa,3,Thanks for taking the call. I had a couple of questions. One is on the revenue sharing arrangement that Apple has with t
